,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
а,0.0006523157208088715,0.0018119881133579763,0.004203812422990505,0.0012321519170834239,0.0034790171776473144,0.0012321519170834239,0.0,0.0015945495397550191,0.004058853373921867,0.0010871928680147858,0.0008697542944118286,0.0050010871928680145,0.009784735812133072,0.0034065376531129954,0.008842501993186924,0.0006523157208088715,0.0024643038341668477,0.0032615786040443573,0.006523157208088715,0.007465391027034862,0.0005073566717402334,7.247952453431905e-05,0.001377110966152062,0.0002899180981372762,0.0025367833587011668,0.0015945495397550191,0.0004348771472059143,0.0,0.0,0.0,0.00021743857360295715,0.0012321519170834239,0.0034065376531129954
б,0.0008697542944118286,0.0,0.0,7.247952453431905e-05,0.0,0.0010871928680147858,0.0,7.247952453431905e-05,0.0,0.0007247952453431905,0.0,0.0002899180981372762,0.0007247952453431905,7.247952453431905e-05,0.00036239762267159525,0.0021019062114952525,0.0001449590490686381,0.0012321519170834239,0.00036239762267159525,0.0,0.001304631441617743,0.0,0.0001449590490686381,0.0,0.0,0.0,0.0001449590490686381,0.0001449590490686381,0.0033340581285786763,7.247952453431905e-05,7.247952453431905e-05,0.0001449590490686381,0.0004348771472059143
в,0.007392911502500543,0.0001449590490686381,0.00021743857360295715,0.0004348771472059143,0.0007247952453431905,0.004348771472059143,0.0,7.247952453431905e-05,0.0010147133434804667,0.0034790171776473144,0.0,0.0017395085888236572,0.0010147133434804667,0.0007247952453431905,0.0025367833587011668,0.006523157208088715,0.0012321519170834239,0.0007972747698775096,0.004276291947524824,0.0004348771472059143,0.0007247952453431905,7.247952453431905e-05,0.0,0.0,0.00036239762267159525,0.0010147133434804667,0.0,0.0,0.0021019062114952525,0.0001449590490686381,0.0,0.0,0.00036239762267159525
г,0.001449590490686381,0.0,0.0,0.0,0.0008697542944118286,0.0001449590490686381,0.0,7.247952453431905e-05,7.247952453431905e-05,0.00036239762267159525,0.0,0.0004348771472059143,0.001449590490686381,0.0,0.0008697542944118286,0.008190186272378053,7.247952453431905e-05,0.0011596723925491048,0.0002899180981372762,0.0,0.0006523157208088715,0.0,0.0,0.0,7.247952453431905e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
д,0.00688555483076031,0.0,0.0008697542944118286,0.0002899180981372762,7.247952453431905e-05,0.004131332898456186,0.0,0.0001449590490686381,0.0,0.001377110966152062,0.0,0.00021743857360295715,0.0009422338189461477,0.0,0.0017395085888236572,0.005725882438211205,0.0001449590490686381,0.0038414148003189097,0.0005073566717402334,7.247952453431905e-05,0.0022468652605638906,0.0,0.00021743857360295715,0.0,7.247952453431905e-05,0.0,0.0,0.0,0.0006523157208088715,0.00036239762267159525,0.0,0.0,0.0007247952453431905
е,0.0005073566717402334,0.0036964557512502716,0.002971660505907081,0.004783648619265057,0.005435964340073929,0.001377110966152062,0.0,0.0010871928680147858,0.0022468652605638906,0.0008697542944118286,0.002681742407769805,0.0034065376531129954,0.006233239109951438,0.0060882800608828,0.009712256287598753,0.0017395085888236572,0.004493730521127781,0.005580923389142567,0.0050010871928680145,0.004421250996593462,0.0009422338189461477,0.0001449590490686381,0.0012321519170834239,0.0005073566717402334,0.0015945495397550191,0.0017395085888236572,0.0009422338189461477,0.0,0.0,0.0,0.0005073566717402334,0.0002899180981372762,0.0010147133434804667
ё,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ж,0.001377110966152062,0.0,0.0,0.0,0.0011596723925491048,0.0038414148003189097,0.0,0.0,0.0,0.001449590490686381,0.0,0.00021743857360295715,0.0,7.247952453431905e-05,0.0015220700152207,7.247952453431905e-05,0.0,0.0,7.247952453431905e-05,0.0,0.00021743857360295715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.247952453431905e-05,0.0,0.0,0.0
з,0.007030513879828948,0.0001449590490686381,0.0010871928680147858,0.0005798361962745524,0.0010147133434804667,0.0002899180981372762,0.0,7.247952453431905e-05,0.0,0.0005073566717402334,0.0,0.0002899180981372762,0.00021743857360295715,0.0005798361962745524,0.0017395085888236572,0.0005073566717402334,0.0002899180981372762,0.00021743857360295715,7.247952453431905e-05,7.247952453431905e-05,0.00036239762267159525,0.0,0.0,0.0,7.247952453431905e-05,0.0,0.0,0.0,0.0005798361962745524,0.0,0.0,0.0,0.0007972747698775096
и,0.0006523157208088715,0.0007972747698775096,0.004348771472059143,0.0009422338189461477,0.0017395085888236572,0.0023193447850982096,0.0,0.0001449590490686381,0.0024643038341668477,0.0019569471624266144,0.0015945495397550191,0.0025367833587011668,0.007030513879828948,0.0034790171776473144,0.005725882438211205,0.001304631441617743,0.0021743857360295715,0.0022468652605638906,0.004711169094730738,0.004711169094730738,0.0004348771472059143,0.0001449590490686381,0.0019569471624266144,0.0009422338189461477,0.0015220700152207,0.0007972747698775096,0.0002899180981372762,0.0,0.0,0.0,0.00036239762267159525,0.0005073566717402334,0.0025367833587011668
