, ,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
 ,0.007450481555515174,0.003452662184263129,0.005027560724453328,0.012902053425404325,0.0032103701011569445,0.008177357804833727,0.0032103701011569445,0.0,0.0012114604155309225,0.005390998849112605,0.007450481555515174,0.0,0.008480222908716457,0.0020594827064025685,0.007935065721727542,0.01453752498637107,0.009328245199588104,0.0172027379005391,0.0042401114543582285,0.014658671027924163,0.007935065721727542,0.004664122599794052,0.0005451571869889151,0.001514325519413653,0.00030286510388273063,0.005148706766006421,0.0006663032285420074,0.0,0.0,0.0,0.0,0.0020594827064025685,0.0,0.004179538433581683
а,0.013992367799382155,0.00018171906232963838,0.0010297413532012842,0.002362347810285299,0.0005451571869889151,0.001938336664849476,0.0005451571869889151,0.0,0.0012720334363074686,0.0032103701011569445,0.00012114604155309225,0.0006663032285420074,0.00375552728814586,0.009085953116481919,0.002846931976497668,0.006905324368526258,0.0,0.0008480222908716458,0.001998909685626022,0.004118965412805137,0.005027560724453328,0.0,0.0,0.000969168332424738,6.0573020776546124e-05,0.0012114604155309225,0.000969168332424738,0.00036343812465927677,0.0,0.0,0.0,0.0,0.0012114604155309225,0.002422920831061845
б,6.0573020776546124e-05,0.0008480222908716458,0.0,0.0,0.0,0.0,0.0020594827064025685,0.0,6.0573020776546124e-05,0.0,0.0009085953116481918,0.0,0.0002422920831061845,0.0010297413532012842,0.00012114604155309225,0.00036343812465927677,0.0018171906232963837,0.0,0.000484584166212369,0.00012114604155309225,0.0,0.0013326064570840148,0.0,0.0,0.0,0.0,0.0,6.0573020776546124e-05,0.00012114604155309225,0.002725785934944576,0.0,0.0,6.0573020776546124e-05,0.00036343812465927677
в,0.005572717911442243,0.006117875098431159,0.0,0.0,0.0,0.00030286510388273063,0.0032103701011569445,0.0,0.0,0.0006663032285420074,0.002544066872614937,0.0,0.0004240111454358229,0.0010297413532012842,6.0573020776546124e-05,0.001453752498637107,0.005572717911442243,0.00018171906232963838,0.0006057302077654613,0.002846931976497668,0.00018171906232963838,0.0006057302077654613,0.0,0.0,0.0,6.0573020776546124e-05,0.000969168332424738,0.0,0.0,0.001938336664849476,0.00012114604155309225,0.0,0.0,0.00012114604155309225
г,0.0009085953116481918,0.000969168332424738,0.0,0.0,0.0,0.0009085953116481918,6.0573020776546124e-05,0.0,0.0,0.0,0.000484584166212369,0.0,0.00030286510388273063,0.0013326064570840148,0.0,0.0006663032285420074,0.007147616451632443,0.0,0.0011508873947543765,0.0,0.0,0.000484584166212369,0.0,0.0,0.0,0.00012114604155309225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
д,0.000484584166212369,0.0044824035374644135,0.0,0.0010903143739778303,0.0002422920831061845,0.0,0.004118965412805137,0.0,0.00018171906232963838,0.0,0.0016960445817432916,0.0,0.00018171906232963838,0.0010297413532012842,6.0573020776546124e-05,0.0013326064570840148,0.004906414682900236,0.0,0.0032709431219334908,0.0002422920831061845,6.0573020776546124e-05,0.00187776364407293,0.0,0.00012114604155309225,6.0573020776546124e-05,0.0,0.0,0.0,0.0,0.0004240111454358229,0.00030286510388273063,0.0,0.0,0.00030286510388273063
е,0.0172027379005391,0.00012114604155309225,0.0011508873947543765,0.0010297413532012842,0.003997819371252044,0.0032103701011569445,0.0012720334363074686,0.0,0.0005451571869889151,0.0006057302077654613,0.0,0.0024834938518383913,0.0010903143739778303,0.004300684475134775,0.004179538433581683,0.006481313223090436,0.00018171906232963838,0.0012720334363074686,0.005269852807559513,0.0024834938518383913,0.002907504997274214,0.0002422920831061845,6.0573020776546124e-05,0.00036343812465927677,0.0004240111454358229,0.0010297413532012842,0.0013326064570840148,0.000969168332424738,0.0,0.0,0.0,0.0,0.0002422920831061845,0.0008480222908716458
ё,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ж,6.0573020776546124e-05,0.0010903143739778303,0.0,0.0,0.0,0.0011508873947543765,0.002907504997274214,0.0,0.0,0.0,0.0015748985401901994,0.0,0.00018171906232963838,0.00012114604155309225,0.0,0.0013326064570840148,6.0573020776546124e-05,0.0,0.0,0.0,0.0,0.00018171906232963838,0.0,0.0,0.0,6.0573020776546124e-05,0.0,0.0,0.0,0.0,6.0573020776546124e-05,0.0,0.0,0.0
з,0.0013326064570840148,0.0055121448906656975,0.0,0.000969168332424738,0.0004240111454358229,0.0007874492700950997,0.0,0.0,6.0573020776546124e-05,6.0573020776546124e-05,0.00030286510388273063,0.0,0.00030286510388273063,0.00018171906232963838,0.0005451571869889151,0.0011508873947543765,0.0004240111454358229,0.00012114604155309225,0.0002422920831061845,0.0,0.0,0.0006663032285420074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004240111454358229,0.00012114604155309225,0.0,0.0,0.0005451571869889151
и,0.013750075716275971,0.00018171906232963838,0.0004240111454358229,0.002301774789508753,0.0006663032285420074,0.0013326064570840148,0.001938336664849476,0.0,0.00036343812465927677,0.0013326064570840148,0.001514325519413653,0.001514325519413653,0.0010903143739778303,0.005330425828336059,0.0029680780180507604,0.003331516142710037,0.00018171906232963838,0.0004240111454358229,0.000969168332424738,0.002362347810285299,0.003452662184263129,0.0,0.0,0.0016354715609667454,0.0006663032285420074,0.0007874492700950997,0.0004240111454358229,0.00018171906232963838,0.0,0.0,0.0,0.00012114604155309225,0.00030286510388273063,0.0013931794778605608
й,0.007692773638621358,0.0,0.0,0.0,0.0,6.0573020776546124e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.0573020776546124e-05,0.0,6.0573020776546124e-05,0.0005451571869889151,0.0,0.0,0.0,0.0002422920831061845,0.0002422920831061845,0.0,0.0,0.0,0.0,0.0006663032285420074,0.00018171906232963838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
к,0.004724695620570598,0.005815009994548428,0.0,0.00012114604155309225,0.0,0.0,0.0010297413532012842,0.0,0.0,0.0,0.0027863589557211217,0.0,6.0573020776546124e-05,0.00036343812465927677,0.0,0.00018171906232963838,0.009509964261917742,0.0,0.002362347810285299,0.00030286510388273063,0.00018171906232963838,0.002544066872614937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
л,0.007450481555515174,0.005693863952995336,0.0,0.0,0.00030286510388273063,6.0573020776546124e-05,0.004966987703676783,0.0,0.00030286510388273063,6.0573020776546124e-05,0.005330425828336059,0.0,0.00036343812465927677,6.0573020776546124e-05,0.0,0.0005451571869889151,0.004421830516687867,0.0,0.0,0.003331516142710037,0.0,0.001453752498637107,0.0,0.0,0.0,0.00012114604155309225,0.0,0.0,0.0,0.0007268762493185535,0.003816100308922406,6.0573020776546124e-05,0.0004240111454358229,0.0013326064570840148
м,0.007026470410079351,0.0022412017687322068,0.0,0.00012114604155309225,0.0,0.0,0.00405839239202859,0.0,0.0,0.0,0.002725785934944576,0.0,0.00036343812465927677,0.00012114604155309225,0.0002422920831061845,0.0012720334363074686,0.005148706766006421,0.00012114604155309225,6.0573020776546124e-05,6.0573020776546124e-05,0.0,0.0020594827064025685,0.0,0.0,0.0,0.00018171906232963838,0.0,0.0,0.0,0.0010903143739778303,0.0,0.0,0.0,0.00030286510388273063
н,0.0026652129141680296,0.009752256345023927,0.0,0.0,0.0,0.001938336664849476,0.010055121448906657,0.0,0.0,0.0,0.007026470410079351,0.0,0.000484584166212369,0.0,0.0,0.0021806287479556605,0.008480222908716457,0.0,6.0573020776546124e-05,0.000484584166212369,0.0013931794778605608,0.004603549579017506,0.0,0.0,6.0573020776546124e-05,0.00018171906232963838,0.0,0.0,0.0,0.0027863589557211217,0.0013931794778605608,0.0,0.00030286510388273063,0.0026046398933914834
о,0.021866860500333152,0.0,0.0036343812465927674,0.006299594160760797,0.003816100308922406,0.0036949542673693136,0.0018171906232963837,0.0,0.002422920831061845,0.0015748985401901994,0.0012720334363074686,0.0026046398933914834,0.0018171906232963837,0.006844751347749712,0.00563329093221879,0.004603549579017506,6.0573020776546124e-05,0.0015748985401901994,0.005451571869889152,0.006117875098431159,0.007692773638621358,0.00036343812465927677,0.0002422920831061845,0.0007268762493185535,6.0573020776546124e-05,0.0016960445817432916,0.0007268762493185535,0.0004240111454358229,0.0,0.0,0.0,6.0573020776546124e-05,0.00030286510388273063,0.0012720334363074686
п,6.0573020776546124e-05,0.002422920831061845,0.0,0.0,0.0,0.0,0.0012114604155309225,0.0,0.0,0.0,0.0009085953116481918,0.0,0.00036343812465927677,0.0011508873947543765,0.0,6.0573020776546124e-05,0.010660851656672118,0.0,0.0067841783269731665,0.0,0.00012114604155309225,0.0007268762493185535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004240111454358229,0.0,0.0,0.0,0.0004240111454358229
р,0.000484584166212369,0.007026470410079351,6.0573020776546124e-05,0.00030286510388273063,6.0573020776546124e-05,6.0573020776546124e-05,0.006299594160760797,0.0,0.00018171906232963838,6.0573020776546124e-05,0.00405839239202859,0.0,0.000484584166212369,0.00012114604155309225,0.00018171906232963838,0.0007874492700950997,0.007147616451632443,6.0573020776546124e-05,0.00012114604155309225,0.00018171906232963838,0.0005451571869889151,0.002725785934944576,0.0,0.00030286510388273063,6.0573020776546124e-05,0.0,6.0573020776546124e-05,0.0,0.0,0.0016354715609667454,0.0004240111454358229,0.0,6.0573020776546124e-05,0.000969168332424738
с,0.0033920891634865833,0.0015748985401901994,0.0,0.0012114604155309225,0.0,0.00030286510388273063,0.003997819371252044,0.0,0.0002422920831061845,0.0,0.0013326064570840148,0.0,0.004542976558240959,0.0027863589557211217,0.0006057302077654613,0.0012114604155309225,0.002907504997274214,0.0026652129141680296,0.0002422920831061845,0.00036343812465927677,0.01126658186443758,0.0006663032285420074,0.0,0.0002422920831061845,0.0,0.00012114604155309225,6.0573020776546124e-05,0.0,0.0,0.00030286510388273063,0.0032103701011569445,0.0,0.00018171906232963838,0.005815009994548428
т,0.0042401114543582285,0.00484584166212369,0.00012114604155309225,0.0015748985401901994,0.0,0.00012114604155309225,0.00405839239202859,0.0,0.0,0.0,0.004179538433581683,0.0,0.0007268762493185535,0.0002422920831061845,6.0573020776546124e-05,0.0008480222908716458,0.01235689623841541,0.00018171906232963838,0.0024834938518383913,0.0008480222908716458,6.0573020776546124e-05,0.00187776364407293,0.0,0.0,6.0573020776546124e-05,0.0,0.0,0.0,0.0,0.0022412017687322068,0.006663032285420074,0.0,6.0573020776546124e-05,0.0013931794778605608
