, ,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
 ,0.0072992700729927005,0.003543629039585668,0.005270012417845352,0.013023593906169549,0.003059030196565406,0.007874731199079263,0.003392191901141836,0.0,0.0013629342459944877,0.005148862707090287,0.007783868916012963,0.0,0.008783354029742254,0.0021201199382136476,0.007995880909834328,0.01587061210891359,0.009086228306629918,0.01696095950570918,0.004209952448738528,0.015143713844383197,0.0076930066329466635,0.004603689008692491,0.0005754611260865614,0.001544658812127086,0.00024229942151013115,0.00478541357482509,0.0006663234091528606,9.086228306629919e-05,0.0,0.0,0.0,0.001998970227458582,3.0287427688766394e-05,0.004088802737983463
а,0.013144743616924614,0.00015143713844383195,0.0010297725414180573,0.0024229942151013113,0.000696610836841627,0.0020292576551473483,0.0006663234091528606,0.0,0.0014235091013720205,0.003059030196565406,0.00012114971075506558,0.0006360359814640942,0.004058515310294697,0.007965593482145561,0.002635006208922676,0.0065117969530847745,0.0,0.0009389102583517582,0.0023321319320350124,0.004421964442559894,0.005270012417845352,3.0287427688766394e-05,0.0,0.0011206348244843566,0.00015143713844383195,0.0011509222521731228,0.0011812096798618893,0.0003331617045764303,0.0,0.0,0.0,0.0,0.0009691976860405246,0.002453281642790078
б,0.00018172456613259837,0.000696610836841627,0.0,0.0,3.0287427688766394e-05,0.0,0.0015143713844383198,0.0,6.057485537753279e-05,0.0,0.0007571856922191599,0.0,0.00021201199382136476,0.00109034739679559,6.057485537753279e-05,0.0004240239876427295,0.0017869582336372172,0.0,0.0007571856922191599,0.00015143713844383195,0.0,0.0011812096798618893,0.0,9.086228306629919e-05,0.0,0.0,0.0,6.057485537753279e-05,0.00012114971075506558,0.0028167307750552747,9.086228306629919e-05,0.0,6.057485537753279e-05,0.0005754611260865614
в,0.005179150134779053,0.006027198110064512,0.0,0.0,0.0,0.00018172456613259837,0.0034527667565193688,0.0,0.0,0.0007874731199079263,0.002453281642790078,0.0,0.0006663234091528606,0.0010297725414180573,0.00021201199382136476,0.0014840839567495533,0.005391162128600418,0.00015143713844383195,0.000545173698397795,0.0029681679134991065,0.00012114971075506558,0.0005148862707090286,0.0,0.0,3.0287427688766394e-05,3.0287427688766394e-05,0.0008177605475966927,0.0,0.0,0.0017263833782596844,9.086228306629919e-05,0.0,0.0,0.00018172456613259837
г,0.000696610836841627,0.0009691976860405246,0.0,0.0,0.0,0.0007874731199079263,0.00012114971075506558,0.0,0.0,0.0,0.0004240239876427295,0.0,0.00024229942151013115,0.0013629342459944877,0.0,0.0004845988430202623,0.007571856922191598,0.0,0.0009691976860405246,3.0287427688766394e-05,0.0,0.000696610836841627,0.0,0.0,0.0,0.00012114971075506558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
д,0.0007874731199079263,0.005179150134779053,3.0287427688766394e-05,0.000848047975285459,0.00012114971075506558,0.0,0.003785928461095799,0.0,0.00012114971075506558,0.0,0.0014840839567495533,0.0,0.00018172456613259837,0.0009389102583517582,0.00015143713844383195,0.001453796529060787,0.0048459884302026225,0.0,0.003059030196565406,0.0002725868491988975,6.057485537753279e-05,0.00184753308901475,0.0,9.086228306629919e-05,3.0287427688766394e-05,0.00015143713844383195,3.0287427688766394e-05,0.0,0.0,0.0004543114153314959,0.0002725868491988975,0.0,0.0,0.00036344913226519674
е,0.01744555834872944,0.00012114971075506558,0.0011812096798618893,0.0011812096798618893,0.003967653027228397,0.0029378804858103402,0.0010600599691068238,0.0,0.0006663234091528606,0.0007874731199079263,0.0,0.002453281642790078,0.0012720719629281884,0.004391677014871127,0.0039373655995396314,0.006693521519217373,0.00012114971075506558,0.0014840839567495533,0.004512826725626193,0.0034527667565193688,0.003240754762698004,0.00024229942151013115,3.0287427688766394e-05,0.0004543114153314959,0.00036344913226519674,0.0010600599691068238,0.0012720719629281884,0.0007571856922191599,0.0,0.0,0.0,0.0,0.00018172456613259837,0.0007571856922191599
ё,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ж,9.086228306629919e-05,0.0010600599691068238,3.0287427688766394e-05,0.0,0.0,0.0009389102583517582,0.0033619044734530695,0.0,0.0,0.0,0.0014840839567495533,0.0,0.00015143713844383195,6.057485537753279e-05,3.0287427688766394e-05,0.0012417845352394221,3.0287427688766394e-05,0.0,0.0,0.0,0.0,0.00015143713844383195,0.0,0.0,0.0,3.0287427688766394e-05,0.0,0.0,0.0,0.0,6.057485537753279e-05,0.0,0.0,0.0
з,0.001453796529060787,0.005724323833176849,0.00015143713844383195,0.0009389102583517582,0.00039373655995396313,0.0008783354029742254,9.086228306629919e-05,0.0,3.0287427688766394e-05,6.057485537753279e-05,0.0002725868491988975,0.0,0.0002725868491988975,0.00024229942151013115,0.0004240239876427295,0.000999485113729291,0.0004543114153314959,9.086228306629919e-05,0.00021201199382136476,0.0,0.0,0.0005148862707090286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004240239876427295,0.00012114971075506558,0.0,0.0,0.0004543114153314959
и,0.013871641881455008,0.00012114971075506558,0.0003331617045764303,0.0026652936366114424,0.0007268982645303935,0.0013326468183057212,0.0017869582336372172,0.0,0.00024229942151013115,0.001544658812127086,0.0012417845352394221,0.001393221673683254,0.001302359390616955,0.005815186116243148,0.0024229942151013113,0.003240754762698004,0.00015143713844383195,0.0003028742768876639,0.0011812096798618893,0.002453281642790078,0.0032710421903867706,0.0,6.057485537753279e-05,0.001544658812127086,0.0006360359814640942,0.0009691976860405246,0.0004845988430202623,0.00015143713844383195,0.0,0.0,0.0,6.057485537753279e-05,0.0002725868491988975,0.0013326468183057212
й,0.007329557500681467,0.0,0.0,0.0,0.0,6.057485537753279e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.0287427688766394e-05,0.0,3.0287427688766394e-05,0.0004543114153314959,0.0,0.0,0.0,0.0003331617045764303,0.00021201199382136476,0.0,0.0,0.0,0.0,0.0004845988430202623,0.00015143713844383195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
к,0.004300814731804828,0.006087772965442045,0.0,0.00012114971075506558,0.0,0.0,0.0007268982645303935,0.0,0.0,0.0,0.0035133416118969018,0.0,3.0287427688766394e-05,0.00036344913226519674,0.0,0.0003028742768876639,0.009419390011206348,0.0,0.002150407365902414,0.0003028742768876639,0.00036344913226519674,0.0025138564981676105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
л,0.008298755186721992,0.005027712996335221,0.0,3.0287427688766394e-05,0.00015143713844383195,3.0287427688766394e-05,0.004694551291758791,0.0,0.00036344913226519674,3.0287427688766394e-05,0.0053608747009116515,0.0,0.0003028742768876639,9.086228306629919e-05,0.0,0.000545173698397795,0.005421449556289184,0.0,0.0,0.0031196050519429384,3.0287427688766394e-05,0.0013326468183057212,0.0,0.0,0.0,6.057485537753279e-05,3.0287427688766394e-05,0.0,0.0,0.0008177605475966927,0.0045734015810037255,3.0287427688766394e-05,0.0004845988430202623,0.0015143713844383198
м,0.007329557500681467,0.0025744313535451435,0.0,6.057485537753279e-05,3.0287427688766394e-05,0.0,0.004209952448738528,0.0,0.0,0.0,0.00260471878123391,0.0,0.0004543114153314959,9.086228306629919e-05,0.00021201199382136476,0.0015749462398158525,0.004664263864070025,0.00012114971075506558,3.0287427688766394e-05,9.086228306629919e-05,0.0,0.0018172456613259837,0.0,0.0,0.0,9.086228306629919e-05,0.0,0.0,0.0,0.0010600599691068238,0.0,0.00012114971075506558,0.0,0.0004543114153314959
н,0.002847018202744041,0.009177090589696218,0.0,0.0,3.0287427688766394e-05,0.0022715570766574794,0.009207378017384983,0.0,0.0,0.0,0.0069055335130387375,0.0,0.0003028742768876639,0.0,0.0,0.0017869582336372172,0.009449677438895115,0.0,9.086228306629919e-05,0.0006360359814640942,0.0010600599691068238,0.004270527304116062,0.0,0.0,0.00021201199382136476,9.086228306629919e-05,0.0,0.0,0.0,0.0029681679134991065,0.0010600599691068238,0.0,0.00024229942151013115,0.0028167307750552747
о,0.020686313111427445,0.0,0.003301329618075537,0.005936335826998213,0.003785928461095799,0.003967653027228397,0.0020292576551473483,0.0,0.0023624193597237787,0.0017869582336372172,0.0015143713844383198,0.003392191901141836,0.0021201199382136476,0.005996910682375746,0.005724323833176849,0.0045734015810037255,9.086228306629919e-05,0.0016355210951933853,0.005270012417845352,0.0065117969530847745,0.007632431777569131,0.0002725868491988975,0.00024229942151013115,0.0005148862707090286,9.086228306629919e-05,0.00184753308901475,0.0008177605475966927,0.00021201199382136476,0.0,0.0,0.0,3.0287427688766394e-05,0.0003028742768876639,0.00109034739679559
п,6.057485537753279e-05,0.002453281642790078,0.0,0.0,0.0,0.0,0.001544658812127086,0.0,0.0,0.0,0.000848047975285459,0.0,0.00021201199382136476,0.00109034739679559,0.0,0.00015143713844383195,0.01075203682951207,0.0,0.006754096374594906,0.0,0.00015143713844383195,0.0007571856922191599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004240239876427295,3.0287427688766394e-05,0.0,0.0,0.0003331617045764303
р,0.0006663234091528606,0.006663234091528606,3.0287427688766394e-05,0.0004845988430202623,6.057485537753279e-05,9.086228306629919e-05,0.00696610836841627,0.0,0.00024229942151013115,6.057485537753279e-05,0.0039373655995396314,0.0,0.0003331617045764303,9.086228306629919e-05,0.00021201199382136476,0.0009389102583517582,0.007268982645303935,9.086228306629919e-05,9.086228306629919e-05,0.00036344913226519674,0.000545173698397795,0.0024835690704788443,0.0,0.0002725868491988975,0.00012114971075506558,0.0,0.00015143713844383195,3.0287427688766394e-05,0.0,0.001998970227458582,0.000545173698397795,0.0,6.057485537753279e-05,0.000999485113729291
