,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
а,0.0006160982857971224,0.0016670894792157431,0.004131482622404233,0.0011597144203239953,0.003152973580255862,0.0013046787228644947,0.0,0.001703330554850868,0.0040590004711339835,0.0010147501177834959,0.0007610625883376219,0.005762331025984851,0.009676367194578334,0.0038053129416881094,0.009205233211321712,0.0007973036639727468,0.002645598521364114,0.003080491428985612,0.007211974051389845,0.007211974051389845,0.0005798572101619976,3.624107563512485e-05,0.001449643025404994,0.00025368752944587397,0.0018120537817562425,0.0016308484035806182,0.0003986518319863734,0.0,0.0,0.0,0.0002899286050809988,0.0011597144203239953,0.003479143260971986
б,0.0008697858152429965,0.0,0.0,3.624107563512485e-05,0.0,0.0018120537817562425,0.0,7.24821512702497e-05,0.0,0.0009422679665132461,0.0,0.00025368752944587397,0.0013046787228644947,7.24821512702497e-05,0.0005073750588917479,0.0021382234624723663,7.24821512702497e-05,0.0009060268908781213,0.00021744645381074912,0.0,0.0014134019497698692,0.0,0.00010872322690537456,0.0,0.0,0.0,7.24821512702497e-05,0.0001449643025404994,0.003370420034066611,0.00010872322690537456,3.624107563512485e-05,7.24821512702497e-05,0.0006885804370673721
в,0.0073206972782952195,0.00010872322690537456,0.00010872322690537456,0.0002899286050809988,0.0005798572101619976,0.004421411227485232,0.0,3.624107563512485e-05,0.000978509042148371,0.0032254557315261117,0.0,0.0015583662523103686,0.0012321965715942449,0.0006160982857971224,0.0022469466893777408,0.006740840068133222,0.0010147501177834959,0.0009422679665132461,0.004203964773674482,0.0003986518319863734,0.000724821512702497,0.00010872322690537456,7.24821512702497e-05,3.624107563512485e-05,0.0002899286050809988,0.0010147501177834959,0.0,0.0,0.0020657413112021164,0.00010872322690537456,3.624107563512485e-05,0.0,0.00025368752944587397
г,0.00119595549595912,0.0,3.624107563512485e-05,0.0,0.000978509042148371,0.0001449643025404994,0.0,3.624107563512485e-05,7.24821512702497e-05,0.0005436161345268727,0.0,0.0003624107563512485,0.0016308484035806182,0.0,0.000724821512702497,0.009132751060051462,7.24821512702497e-05,0.0011597144203239953,0.00018120537817562426,0.0,0.0009060268908781213,0.0,0.0,0.0,0.0001449643025404994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
д,0.0062697060848765996,3.624107563512485e-05,0.0010872322690537455,0.00018120537817562426,3.624107563512485e-05,0.004530134454390607,0.0,0.0001449643025404994,0.0,0.0018120537817562425,0.0,0.0003261696807161237,0.0011597144203239953,0.00021744645381074912,0.0018120537817562425,0.005834813177255101,0.0001449643025404994,0.0036603486391476097,0.00043489290762149823,0.00010872322690537456,0.0022469466893777408,3.624107563512485e-05,0.00010872322690537456,3.624107563512485e-05,0.00018120537817562426,3.624107563512485e-05,0.0,0.0,0.0005436161345268727,0.0003261696807161237,0.0,0.0,0.00047113398325662303
е,0.0005073750588917479,0.0027905628239046133,0.0031167325046207372,0.004965027362012105,0.004675098756931105,0.001449643025404994,0.0,0.0010509911934186206,0.001703330554850868,0.0008697858152429965,0.002935527126445113,0.002500634218823615,0.005544884572174102,0.005871054252890226,0.01000253687529446,0.0013046787228644947,0.004131482622404233,0.006160982857971224,0.0061247417823361,0.0047113398325662305,0.000978509042148371,0.0001449643025404994,0.0009060268908781213,0.00043489290762149823,0.0018482948573913674,0.0015583662523103686,0.0009422679665132461,0.0,0.0,0.0,0.0003624107563512485,0.00021744645381074912,0.00119595549595912
ё,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ж,0.0012684376472293698,3.624107563512485e-05,0.0,0.0,0.0011234733446888704,0.004022759395498858,0.0,0.0,0.0,0.0017758127061211176,0.0,0.00018120537817562426,7.24821512702497e-05,3.624107563512485e-05,0.0014858841010401188,3.624107563512485e-05,3.624107563512485e-05,0.0,7.24821512702497e-05,0.0,0.00018120537817562426,0.0,0.0,0.0,3.624107563512485e-05,0.0,0.0,0.0,0.0,7.24821512702497e-05,0.0,0.0,0.0
з,0.0068858043706737215,0.00021744645381074912,0.00119595549595912,0.00047113398325662303,0.0011234733446888704,0.00018120537817562426,0.0,7.24821512702497e-05,7.24821512702497e-05,0.0003986518319863734,0.0,0.0005436161345268727,0.0003261696807161237,0.0006523393614322473,0.0014134019497698692,0.000724821512702497,0.00025368752944587397,0.0002899286050809988,0.00010872322690537456,3.624107563512485e-05,0.0006885804370673721,0.0,0.0,3.624107563512485e-05,7.24821512702497e-05,3.624107563512485e-05,0.0,0.0,0.0005073750588917479,0.0001449643025404994,0.0,0.0,0.0005436161345268727
и,0.0006885804370673721,0.0009060268908781213,0.004892545210741854,0.0010147501177834959,0.00239191099191824,0.0024643931431884898,0.0,0.0003986518319863734,0.0023194288406479906,0.0022831877650128654,0.0016670894792157431,0.0025731163700938643,0.0071032508244844705,0.0035878664878773604,0.005218714891457979,0.0013771608741347443,0.002174464538107491,0.001957018084296742,0.004602616605660856,0.0049287862863769795,0.0005798572101619976,0.00010872322690537456,0.0019932591599318666,0.0007973036639727468,0.001449643025404994,0.0005798572101619976,0.00021744645381074912,0.0,0.0,0.0,0.0003624107563512485,0.0003261696807161237,0.001957018084296742
