WITH SPACES:
 : 0.16427403234599308
о: 0.09373674965170513
а: 0.0669029014476952
е: 0.06602459264643527
н: 0.0554243140105397
и: 0.050911623962687017
т: 0.04906414682900236
с: 0.04639893391483433
л: 0.042340541522805746
р: 0.03579865527893876
в: 0.034042037676418925
к: 0.030195650857108243
м: 0.027591010963716762
у: 0.027166999818280937
д: 0.026561269610515477
п: 0.025561814767702466
я: 0.02519837664304319
ь: 0.01699073232782119
ы: 0.015688412381125446
г: 0.014476951965594525
з: 0.014204373372100067
б: 0.012720334363074686
ч: 0.01235689623841541
й: 0.009085953116481919
ж: 0.008722514991822642
х: 0.007359622024350355
ш: 0.007268762493185535
ю: 0.004936701193288509
щ: 0.0033920891634865833
э: 0.002301774789508753
ц: 0.0022714882791204797
ф: 0.0009085953116481918
ъ: 0.00012114604155309225
Entropy: 4.382564155725319
R: 0.6618299636331342


WITHOUT SPACES:
о: 0.11216206421685873
а: 0.08005363484815539
е: 0.07900268174240777
н: 0.06631876494890193
и: 0.06091904037109516
т: 0.05870841487279843
с: 0.05551931579328839
л: 0.05066318764948902
р: 0.04283539899978256
в: 0.04073349278828731
к: 0.03613104298035805
м: 0.03301442342538233
у: 0.032507066753642094
д: 0.031782271508298904
п: 0.03058635935348264
я: 0.030151482206276725
ь: 0.020330506631876494
ы: 0.018772196854388634
г: 0.017322606363702253
з: 0.016996448503297817
б: 0.015220700152207
ч: 0.014785823005001086
й: 0.010871928680147858
ж: 0.010437051532941943
х: 0.008806262230919765
ш: 0.008697542944118286
ю: 0.005907081249547003
щ: 0.004058853373921867
э: 0.002754221932304124
ц: 0.0027179821700369644
ф: 0.0010871928680147858
ъ: 0.0001449590490686381
Entropy: 4.472910081385867
R: 0.5270899186141333
